geo_name,geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
Elkford,5901003,2500,NULL,0.54,0.18,0.22,0.64,0.37,0.32,0.29,0.67,0.01,0.02,0.01,0.00,0.00,0.10,0.85,0.27,1.04,0.34,0.51,0.69,0.05
Sparwood,5901006,3785,NULL,0.52,0.19,0.20,0.65,0.39,0.33,0.28,0.59,0.01,0.01,0.02,0.02,0.00,0.10,0.75,0.27,0.87,0.24,0.49,0.69,0.06
Fernie,5901012,5250,0.04,0.50,0.22,0.23,0.66,0.39,0.34,0.28,0.57,0.01,0.01,0.00,0.00,0.00,0.06,0.73,0.49,1.02,0.17,0.67,0.74,0.07
East Kootenay A,5901017,1940,NULL,0.52,0.17,0.22,0.64,0.41,0.29,0.27,0.57,0.01,0.00,0.00,0.00,0.01,0.07,0.90,0.42,1.07,0.28,0.57,0.71,0.06
East Kootenay B,5901019,1975,NULL,0.54,0.13,0.18,0.63,0.46,0.31,0.26,0.49,0.01,0.01,0.00,0.00,0.00,0.09,0.86,0.47,0.78,0.34,0.50,0.57,0.07
Cranbrook,5901022,20045,0.06,0.49,0.17,0.18,0.57,0.43,0.41,0.27,0.42,0.02,0.01,0.01,0.01,0.00,0.09,0.73,0.30,0.91,0.32,0.51,0.63,0.08
Kimberley,5901028,7425,0.01,0.50,0.15,0.19,0.57,0.45,0.37,0.27,0.41,0.01,0.01,0.00,0.00,0.00,0.06,0.74,0.28,0.90,0.28,0.58,0.62,0.09
East Kootenay C,5901035,6035,NULL,0.51,0.12,0.18,0.61,0.45,0.30,0.27,0.51,0.01,0.00,0.00,0.01,0.00,0.09,0.91,0.51,0.79,0.19,0.56,0.62,0.07
East Kootenay E,5901037,1750,NULL,0.51,0.11,0.18,0.62,0.49,0.30,0.25,0.43,0.01,0.00,0.01,0.01,0.00,0.08,0.86,0.48,0.75,0.26,0.58,0.61,0.12
Invermere,5901039,3395,0.03,0.47,0.17,0.20,0.78,0.43,0.41,0.28,0.42,0.01,0.03,0.01,0.01,0.00,0.08,0.72,0.42,1.13,0.24,0.64,0.70,0.06
Radium Hot Springs,5901040,780,0.01,0.50,0.13,0.17,0.61,0.47,0.33,0.26,0.44,0.00,0.00,0.01,0.00,0.01,0.07,0.84,0.35,1.06,0.27,0.58,0.53,0.13
Canal Flats,5901043,665,0.01,0.54,0.14,0.19,0.60,0.43,0.33,0.27,0.44,0.01,0.01,0.00,0.00,0.00,0.09,0.87,0.23,0.69,0.37,0.31,0.62,0.07
East Kootenay F,5901046,2725,NULL,0.50,0.13,0.15,0.87,0.50,0.28,0.25,0.47,0.00,0.00,0.00,0.01,0.00,0.05,0.87,0.53,1.09,0.31,0.35,0.59,0.06
East Kootenay G,5901048,1465,NULL,0.52,0.14,0.16,0.65,0.46,0.33,0.26,0.38,0.00,0.01,0.00,0.00,0.01,0.07,0.86,0.36,0.83,0.29,0.49,0.68,0.10
Tobacco Plains 2,5901801,75,NULL,0.47,0.20,0.20,0.84,0.38,0.46,0.32,NULL,0.00,0.00,0.00,0.00,0.00,0.93,0.60,NULL,NULL,0.33,0.50,0.50,0.00
Kootenay 1,5901803,170,NULL,0.59,0.21,0.21,0.68,0.36,0.52,0.28,NULL,0.12,0.00,0.00,0.00,0.00,0.94,0.82,NULL,NULL,0.19,0.50,0.78,0.14
Columbia Lake 3,5901804,140,NULL,0.46,0.25,0.18,0.86,0.41,0.52,0.26,NULL,0.00,0.00,0.00,0.00,0.00,0.79,0.73,NULL,NULL,0.30,0.43,0.61,0.00
Shuswap,5901806,320,NULL,0.48,0.31,0.19,0.80,0.37,0.49,0.26,0.32,0.00,0.08,0.00,0.00,0.00,0.34,0.64,NULL,NULL,0.26,0.55,0.79,0.07
Creston,5903004,5355,0.06,0.46,0.12,0.13,0.49,0.52,0.41,0.25,0.30,0.01,0.01,0.00,0.00,0.00,0.07,0.73,0.28,0.81,0.15,0.50,0.46,0.06
Central Kootenay A,5903010,1930,NULL,0.51,0.08,0.13,0.61,0.53,0.34,0.23,0.31,0.01,0.01,0.00,0.00,0.01,0.06,0.83,0.41,0.68,0.26,0.58,0.47,0.12
Salmo,5903011,1140,0.05,0.49,0.13,0.17,0.60,0.47,0.43,0.26,0.31,0.01,0.00,0.00,0.00,0.00,0.08,0.67,0.24,0.78,0.34,0.42,0.49,0.09
Central Kootenay B,5903013,4660,NULL,0.50,0.11,0.12,0.51,0.45,0.36,0.28,0.31,0.01,0.01,0.01,0.00,0.00,0.07,0.85,0.34,0.79,0.16,0.49,0.49,0.09
Nelson,5903015,10570,0.09,0.48,0.18,0.22,0.61,0.42,0.50,0.27,0.37,0.02,0.01,0.01,0.01,0.01,0.07,0.61,0.38,0.96,0.27,0.61,0.67,0.09
Central Kootenay C,5903017,1480,NULL,0.50,0.11,0.14,0.59,0.48,0.29,0.25,0.31,0.01,0.01,0.01,0.02,0.00,0.07,0.85,0.37,0.75,0.30,0.51,0.59,0.06
Slocan,5903019,275,0.04,0.49,0.07,0.20,0.78,0.46,0.49,0.26,NULL,0.00,0.00,0.00,0.00,0.00,0.04,0.75,0.26,0.00,0.30,0.40,0.58,0.16
Kaslo,5903023,970,0.03,0.51,0.10,0.13,0.58,0.50,0.43,0.26,0.31,0.00,0.01,0.00,0.01,0.00,0.07,0.77,0.27,0.92,0.33,0.52,0.54,0.07
Silverton,5903027,195,0.06,0.49,0.05,0.10,0.90,0.56,0.39,0.23,NULL,0.06,0.06,0.06,0.00,0.00,0.00,0.75,0.34,0.00,0.34,0.59,0.45,0.00
New Denver,5903032,475,0.05,0.44,0.09,0.12,0.57,0.54,0.49,0.24,0.27,0.00,0.02,0.00,0.00,0.00,0.03,0.65,0.27,0.78,0.14,0.58,0.52,0.07
Central Kootenay D,5903039,1345,NULL,0.54,0.09,0.16,0.62,0.49,0.39,0.25,0.48,0.00,0.01,0.00,0.00,0.01,0.08,0.85,0.35,0.67,0.21,0.60,0.56,0.10
Central Kootenay E,5903041,3770,NULL,0.51,0.13,0.20,0.82,0.46,0.39,0.26,0.34,0.03,0.00,0.00,0.01,0.00,0.05,0.82,0.43,0.93,0.28,0.61,0.62,0.08
Central Kootenay F,5903043,3965,NULL,0.50,0.13,0.20,0.62,0.44,0.35,0.27,0.42,0.02,0.00,0.01,0.00,0.01,0.04,0.85,0.47,0.96,0.27,0.64,0.64,0.10
Castlegar,5903045,8040,0.04,0.49,0.17,0.18,0.57,0.45,0.41,0.27,0.40,0.01,0.01,0.03,0.01,0.00,0.07,0.78,0.30,0.88,0.29,0.56,0.60,0.08
Central Kootenay G,5903047,1625,NULL,0.54,0.13,0.23,0.68,0.42,0.40,0.27,0.34,0.01,0.00,0.01,0.00,0.01,0.07,0.79,0.31,0.89,0.34,0.48,0.59,0.12
Nakusp,5903050,1605,0.02,0.48,0.12,0.18,0.59,0.48,0.43,0.26,0.32,0.03,0.01,0.00,0.00,0.00,0.10,0.69,0.36,0.75,0.29,0.46,0.59,0.09
Central Kootenay H,5903052,4665,NULL,0.52,0.13,0.22,0.79,0.43,0.38,0.27,0.30,0.02,0.01,0.01,0.00,0.00,0.09,0.82,0.34,0.76,0.25,0.57,0.64,0.11
Central Kootenay I,5903056,2535,NULL,0.51,0.14,0.20,0.81,0.45,0.35,0.27,0.41,0.00,0.00,0.00,0.00,0.00,0.06,0.86,0.39,0.92,0.26,0.43,0.62,0.08
Central Kootenay J,5903058,3135,NULL,0.51,0.15,0.21,0.65,0.43,0.35,0.27,0.43,0.01,0.01,0.00,0.00,0.00,0.07,0.84,0.36,0.75,0.24,0.56,0.64,0.11
Central Kootenay K,5903060,1680,NULL,0.52,0.07,0.13,0.88,0.53,0.32,0.24,0.30,0.01,0.01,0.00,0.00,0.00,0.08,0.88,0.34,0.67,0.27,0.48,0.47,0.10
Creston 1,5903807,110,NULL,0.45,0.23,0.32,0.68,0.32,0.67,0.27,NULL,0.00,0.00,0.00,0.00,0.00,0.91,0.38,NULL,NULL,0.22,0.44,0.61,0.27
Fruitvale,5905005,1920,0.07,0.49,0.16,0.15,0.59,0.46,0.36,0.27,0.45,0.01,0.00,0.00,0.00,0.01,0.06,0.78,0.28,0.76,0.29,0.56,0.60,0.09
Montrose,5905009,995,0.07,0.51,0.15,0.15,0.58,0.46,0.34,0.27,0.47,0.03,0.00,0.00,0.01,0.01,0.07,0.92,0.31,0.00,0.31,0.55,0.55,0.04
Trail,5905014,7705,0.02,0.48,0.16,0.15,0.55,0.47,0.46,0.26,0.40,0.01,0.01,0.01,0.01,0.00,0.10,0.68,0.22,0.74,0.29,0.51,0.53,0.10
Warfield,5905018,1680,0.09,0.49,0.17,0.18,0.61,0.43,0.37,0.27,0.43,0.02,0.01,0.00,0.00,0.00,0.08,0.79,0.27,0.80,0.26,0.59,0.58,0.05
Rossland,5905023,3730,0.01,0.52,0.16,0.24,0.76,0.40,0.36,0.28,0.52,0.01,0.02,0.00,0.01,0.00,0.04,0.79,0.33,1.01,0.19,0.70,0.69,0.07
Kootenay Boundary A,5905026,1890,NULL,0.51,0.13,0.18,0.62,0.44,0.29,0.27,0.45,0.00,0.00,0.00,0.01,0.00,0.08,0.90,0.36,0.86,0.29,0.54,0.63,0.05
Kootenay Boundary B,5905030,1440,NULL,0.51,0.13,0.16,0.62,0.48,0.32,0.25,0.45,0.01,0.00,0.00,0.00,0.01,0.07,0.96,0.27,0.77,0.33,0.50,0.59,0.09
Grand Forks,5905032,4045,0.04,0.47,0.11,0.15,0.51,0.50,0.45,0.25,0.30,0.01,0.02,0.01,0.01,0.00,0.09,0.79,0.25,0.84,0.29,0.51,0.51,0.09
Midway,5905037,650,0.01,0.48,0.06,0.12,0.52,0.54,0.39,0.24,0.25,0.01,0.07,0.00,0.02,0.00,0.10,0.86,0.23,0.74,0.16,0.38,0.32,0.08
Greenwood,5905042,665,0.03,0.53,0.06,0.11,0.60,0.55,0.39,0.23,0.27,0.01,0.00,0.00,0.00,0.00,0.11,0.88,0.18,0.63,0.14,0.39,0.38,0.11
Kootenay Boundary C,5905050,1335,NULL,0.51,0.06,0.15,0.56,0.53,0.31,0.24,0.38,0.01,0.01,0.00,0.01,0.00,0.11,0.93,0.37,0.89,0.29,0.53,0.50,0.10
Kootenay Boundary D,5905052,3225,NULL,0.51,0.09,0.14,0.84,0.50,0.32,0.25,0.30,0.01,0.01,0.00,0.01,0.00,0.06,0.88,0.35,0.82,0.30,0.34,0.50,0.05
Kootenay Boundary E,5905054,2155,NULL,0.53,0.09,0.18,0.82,0.47,0.37,0.26,0.29,0.00,0.00,0.00,0.00,0.00,0.07,0.84,0.33,0.76,0.30,0.49,0.61,0.07
Osoyoos,5907005,5085,0.06,0.47,0.10,0.12,0.46,0.55,0.38,0.24,0.29,0.01,0.00,0.05,0.01,0.01,0.06,0.75,0.40,0.88,0.14,0.49,0.42,0.07
Keremeos,5907009,1505,0.07,0.48,0.08,0.10,0.87,0.56,0.37,0.24,0.27,0.00,0.01,0.06,0.01,0.00,0.04,0.77,0.28,0.75,0.31,0.44,0.43,0.17
Oliver,5907014,4930,0.09,0.47,0.12,0.13,0.48,0.51,0.38,0.25,0.30,0.01,0.01,0.09,0.00,0.01,0.05,0.77,0.36,0.88,0.18,0.48,0.49,0.07
Okanagan-Similkameen A,5907022,1860,NULL,0.49,0.10,0.14,0.61,0.52,0.30,0.24,0.41,0.01,0.01,0.16,0.00,0.00,0.04,0.82,0.61,1.07,0.34,0.49,0.53,0.10
Princeton,5907024,2825,NULL,0.50,0.15,0.15,0.83,0.47,0.42,0.25,0.40,0.01,0.01,0.01,0.00,0.00,0.13,0.71,0.25,0.85,0.30,0.33,0.53,0.07
Okanagan-Similkameen B,5907026,1050,NULL,0.52,0.12,0.17,0.60,0.47,0.40,0.27,0.26,0.03,0.01,0.11,0.00,0.01,0.14,0.75,0.45,0.70,0.31,0.43,0.52,0.13
Okanagan-Similkameen C,5907028,3555,NULL,0.50,0.10,0.14,0.54,0.51,0.32,0.26,0.30,0.00,0.00,0.16,0.00,0.01,0.05,0.81,0.40,0.99,0.30,0.26,0.55,0.09
Summerland,5907035,11615,0.02,0.47,0.11,0.15,0.53,0.50,0.36,0.26,0.40,0.02,0.01,0.02,0.00,0.00,0.07,0.82,0.49,1.07,0.29,0.57,0.56,0.08
Penticton,5907041,33760,0.08,0.47,0.14,0.16,0.83,0.49,0.46,0.26,0.38,0.02,0.02,0.03,0.00,0.00,0.08,0.63,0.39,1.03,0.31,0.34,0.57,0.09
Okanagan-Similkameen D,5907047,5875,NULL,0.49,0.09,0.16,0.56,0.50,0.30,0.25,0.43,0.01,0.00,0.01,0.00,0.00,0.07,0.86,0.49,1.09,0.16,0.56,0.55,0.07
Okanagan-Similkameen E,5907049,1905,NULL,0.50,0.11,0.15,0.83,0.49,0.33,0.25,0.44,0.02,0.01,0.02,0.01,0.01,0.04,0.82,0.60,1.08,0.26,0.41,0.61,0.06
Okanagan-Similkameen F,5907051,2010,NULL,0.50,0.11,0.16,0.79,0.46,0.27,0.28,0.50,0.02,0.01,0.00,0.01,0.00,0.05,0.93,0.63,1.04,0.26,0.57,0.63,0.07
Okanagan-Similkameen G,5907053,2235,NULL,0.51,0.09,0.11,0.86,0.53,0.37,0.24,0.28,0.01,0.02,0.06,0.00,0.00,0.10,0.81,0.24,0.77,0.33,0.45,0.46,0.07
Okanagan-Similkameen H,5907055,1955,NULL,0.53,0.08,0.13,0.62,0.53,0.29,0.23,0.36,0.00,0.00,0.00,0.00,0.00,0.10,0.89,0.39,0.85,0.31,0.46,0.52,0.07
Osoyoos 1,5907802,760,NULL,0.49,0.14,0.11,0.55,0.50,0.37,0.24,0.29,0.00,0.00,0.00,0.00,0.00,0.47,0.86,NULL,NULL,0.09,0.46,0.40,0.13
Penticton 1,5907803,1785,NULL,0.48,0.10,0.14,0.82,0.51,0.38,0.25,0.28,0.00,0.00,0.00,0.01,0.00,0.36,0.89,NULL,NULL,0.30,0.46,0.39,0.12
Chopaka 7 & 8,5907805,80,NULL,0.50,0.25,0.13,0.88,0.40,0.38,0.32,NULL,0.00,0.00,0.00,0.00,0.00,0.94,1.00,NULL,NULL,0.25,0.33,0.67,0.25
Chuchuwayha 2,5907807,60,NULL,0.42,0.25,0.25,0.72,0.34,0.56,0.3,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.33,NULL,NULL,0.33,0.22,0.50,0.00
Ashnola 10,5907809,80,NULL,0.44,0.19,0.06,0.72,0.35,0.75,0.28,NULL,0.00,0.00,0.00,0.00,0.00,0.94,0.80,NULL,NULL,0.17,0.33,0.54,0.00
Hope,5909009,6180,0.02,0.50,0.11,0.16,0.56,0.49,0.43,0.25,0.34,0.03,0.01,0.03,0.00,0.01,0.10,0.75,0.30,0.85,0.17,0.47,0.51,0.11
Fraser Valley A,5909014,405,NULL,0.56,0.07,0.16,0.65,0.53,0.51,0.24,0.21,0.02,0.00,0.00,0.00,0.00,0.21,0.74,0.18,0.63,0.17,0.23,0.42,0.29
Fraser Valley B,5909016,915,NULL,0.56,0.09,0.16,0.58,0.52,0.45,0.26,0.32,0.01,0.00,0.00,0.00,0.00,0.14,0.78,0.33,0.76,0.39,0.38,0.49,0.06
Chilliwack,5909020,83790,0.03,0.49,0.18,0.19,0.57,0.41,0.40,0.29,0.40,0.02,0.02,0.02,0.01,0.01,0.09,0.73,0.42,1.00,0.35,0.46,0.63,0.06
Harrison Hot Springs,5909027,1465,0.03,0.49,0.10,0.14,0.56,0.52,0.33,0.24,0.35,0.03,0.01,0.01,0.00,0.00,0.08,0.80,0.42,0.89,0.29,0.59,0.49,0.09
Kent,5909032,6070,NULL,0.55,0.17,0.17,0.57,0.46,0.41,0.28,0.35,0.01,0.01,0.01,0.00,0.01,0.09,0.78,0.40,0.87,0.22,0.43,0.56,0.08
Fraser Valley D,5909034,1530,NULL,0.52,0.14,0.21,0.57,0.40,0.28,0.3,0.45,0.05,0.00,0.01,0.01,0.00,0.02,0.92,0.55,1.08,0.37,0.46,0.63,0.04
Fraser Valley H,5909035,1850,NULL,0.50,0.12,0.15,0.65,0.49,0.38,0.25,0.46,0.02,0.01,0.02,0.01,0.01,0.05,0.83,0.52,0.93,0.34,0.48,0.60,0.07
Fraser Valley E,5909036,1540,NULL,0.55,0.13,0.17,0.66,0.48,0.41,0.25,0.33,0.01,0.01,0.01,0.00,0.01,0.10,0.92,0.36,1.05,0.35,0.46,0.55,0.06
Fraser Valley C,5909048,1025,NULL,0.54,0.10,0.17,0.63,0.52,0.34,0.23,0.37,0.02,0.00,0.00,0.02,0.00,0.08,0.92,0.38,0.00,0.37,0.51,0.49,0.06
Abbotsford,5909052,141395,0.04,0.49,0.20,0.19,0.59,0.40,0.39,0.3,0.39,0.03,0.02,0.26,0.01,0.01,0.05,0.70,0.52,0.97,0.34,0.45,0.66,0.07
Mission,5909056,38830,0.02,0.51,0.18,0.20,0.63,0.40,0.41,0.29,0.41,0.01,0.01,0.08,0.01,0.01,0.09,0.77,0.52,1.00,0.23,0.46,0.66,0.06
Fraser Valley F,5909060,1295,NULL,0.52,0.14,0.19,0.61,0.44,0.38,0.27,0.33,0.04,0.01,0.05,0.01,0.00,0.07,0.78,0.53,1.01,0.36,0.50,0.65,0.05
Fraser Valley G,5909062,1775,NULL,0.51,0.15,0.16,0.63,0.44,0.42,0.28,0.40,0.01,0.01,0.05,0.02,0.00,0.10,0.70,0.45,1.09,0.37,0.37,0.63,0.05
Chawathil 4,5909804,185,NULL,0.49,0.22,0.14,0.65,0.30,0.60,0.31,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.70,NULL,NULL,0.21,0.42,0.42,0.20
Kopchitchin 2,5909806,40,NULL,0.63,0.00,0.38,0.75,0.45,0.71,0.5,NULL,0.00,0.00,0.00,0.00,0.00,0.89,NULL,NULL,NULL,0.29,0.29,0.43,0.67
Ohamil 1,5909807,95,0.01,0.42,0.21,0.16,0.53,0.28,0.54,0.35,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.40,NULL,NULL,0.15,0.46,0.39,0.40
Schkam 2,5909812,130,0.01,0.46,0.23,0.15,0.58,0.30,0.61,0.33,NULL,0.00,0.00,0.00,0.00,0.00,0.96,0.57,NULL,NULL,0.24,0.41,0.50,0.22
Kahmoose 4,5909819,65,0.03,0.69,0.15,0.23,0.81,0.38,0.70,0.22,NULL,0.00,0.00,0.00,0.00,0.00,0.92,0.80,NULL,NULL,0.27,0.36,0.64,0.29
Kwawkwawapilt 6,5909821,320,0.05,0.39,0.02,0.03,0.45,0.69,0.40,0.21,0.17,0.00,0.00,0.00,0.00,0.00,0.15,0.97,NULL,NULL,0.06,0.30,0.13,0.25
Skwah 4,5909824,195,0.02,0.51,0.21,0.23,0.69,0.35,0.57,0.29,NULL,0.00,0.05,0.00,0.05,0.00,0.95,0.58,NULL,NULL,0.20,0.40,0.45,0.00
Skway 5,5909826,85,NULL,0.53,0.29,0.06,0.66,0.35,0.64,0.32,NULL,0.00,0.12,0.00,0.00,0.00,0.94,NULL,NULL,NULL,0.38,0.38,0.46,0.00
Soowahlie 14,5909827,250,0.01,0.50,0.22,0.18,0.70,0.36,0.58,0.31,NULL,0.00,0.00,0.00,0.00,0.00,0.92,0.40,NULL,NULL,0.24,0.30,0.57,0.29
Tzeachten 13,5909830,2360,0.09,0.47,0.05,0.06,0.33,0.63,0.24,0.22,0.26,0.01,0.00,0.01,0.00,0.00,0.13,0.98,NULL,NULL,0.34,0.17,0.24,0.07
Yakweakwioose 12,5909831,45,0.02,0.44,0.11,0.22,0.78,0.35,0.83,0.2,NULL,0.00,0.00,0.00,0.00,0.00,1.00,1.00,NULL,NULL,0.43,0.29,0.43,0.00
Seabird Island,5909832,770,NULL,0.49,0.23,0.14,0.53,0.30,0.51,0.33,0.21,0.01,0.00,0.00,0.00,0.00,0.94,0.70,NULL,NULL,0.13,0.47,0.58,0.23
Cheam 1,5909837,205,0.01,0.51,0.22,0.20,0.63,0.33,0.67,0.29,NULL,0.15,0.00,0.00,0.00,0.00,0.95,0.86,NULL,NULL,0.31,0.38,0.52,0.20
Chehalis 5,5909839,535,0.01,0.50,0.19,0.21,0.62,0.34,0.46,0.29,0.26,0.02,0.00,0.00,0.00,0.00,0.94,0.78,NULL,NULL,0.20,0.40,0.53,0.12
Stullawheets 8,5909841,50,0.01,0.50,0.00,0.10,0.70,0.41,0.38,0.4,NULL,0.00,0.00,0.00,0.00,0.00,0.60,1.00,NULL,NULL,0.29,0.29,0.38,0.00
Douglas 8,5909842,65,NULL,0.54,0.23,0.08,0.66,0.30,0.56,0.33,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.50,NULL,NULL,0.33,0.33,0.67,0.33
Skookumchuck 4,5909845,85,NULL,0.47,0.35,0.06,0.79,0.33,0.67,0.32,NULL,0.00,0.00,0.00,0.00,0.00,0.94,0.40,NULL,NULL,0.17,0.33,0.50,0.33
Q'alatkú7em,5909875,75,0.03,0.60,0.27,0.07,0.56,0.29,0.64,0.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
