geo_name,geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
Ashcroft 4,5933844,70,NULL,0.43,0.21,0.14,0.82,0.41,0.64,0.22,NULL,0.00,0.00,0.00,0.00,0.00,0.86,0.50,NULL,NULL,0.27,0.36,0.55,0.33
Siska Flat,5933849,90,0.01,0.50,0.28,0.11,0.62,0.32,0.50,0.3,NULL,0.00,0.00,0.00,0.00,0.00,0.78,0.50,NULL,NULL,0.29,0.29,0.43,0.33
Nicomen 1,5933851,65,0.01,0.38,0.23,0.15,0.62,0.30,0.44,0.3,NULL,0.00,0.00,0.00,0.00,0.00,0.92,0.75,NULL,NULL,0.25,0.50,0.67,0.33
Nuuautin 2,5933853,140,0.01,0.50,0.18,0.21,0.62,0.33,0.58,0.33,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.67,NULL,NULL,0.40,0.20,0.50,0.30
Shackan 11,5933859,65,NULL,0.54,0.15,0.23,0.81,0.44,0.36,0.22,NULL,0.00,0.00,0.00,0.00,0.00,0.92,1.00,NULL,NULL,0.18,0.45,0.46,0.00
Marble Canyon 3,5933872,80,NULL,0.50,0.06,0.38,0.70,0.37,0.54,0.26,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.33,NULL,NULL,0.31,0.38,0.61,0.25
Stryen 9,5933873,70,NULL,0.50,0.29,0.14,0.57,0.29,0.50,0.43,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.75,NULL,NULL,0.60,0.20,0.30,0.00
Whispering Pines 4,5933877,60,NULL,0.50,0.17,0.25,0.67,0.37,0.50,0.28,NULL,0.00,0.00,0.00,0.00,0.00,0.83,0.50,NULL,NULL,0.30,0.60,0.90,0.22
Kamloops 1,5933880,3025,NULL,0.48,0.15,0.16,0.82,0.45,0.39,0.26,0.55,0.03,0.01,0.01,0.00,0.00,0.33,0.80,NULL,NULL,0.32,0.55,0.60,0.09
Kanaka Bar,5933882,70,0.01,0.50,0.21,0.21,0.67,0.34,0.60,0.37,NULL,0.00,0.00,0.00,0.00,0.00,1.00,1.00,NULL,NULL,0.36,0.36,0.64,0.43
Sahhaltkum 4,5933884,305,NULL,0.54,0.11,0.25,0.63,0.36,0.51,0.29,0.31,0.05,0.00,0.00,0.00,0.00,0.90,0.82,NULL,NULL,0.24,0.54,0.62,0.21
North Thompson 1,5933887,220,NULL,0.52,0.16,0.23,0.75,0.39,0.47,0.28,NULL,0.00,0.00,0.00,0.00,0.00,0.91,0.82,NULL,NULL,0.32,0.44,0.71,0.20
Neskonlith,5933898,235,NULL,0.51,0.19,0.23,0.64,0.31,0.48,0.31,NULL,0.00,0.00,0.00,0.00,0.00,0.96,0.67,NULL,NULL,0.24,0.48,0.61,0.15
Kelowna,5935010,127380,0.06,0.48,0.20,0.18,0.60,0.43,0.43,0.27,0.45,0.03,0.02,0.03,0.01,0.01,0.06,0.68,0.53,1.17,0.31,0.55,0.65,0.07
Central Okanagan,5935012,3825,NULL,0.51,0.15,0.17,0.82,0.46,0.31,0.27,0.43,0.01,0.00,0.02,0.00,0.00,0.07,0.89,0.58,1.25,0.21,0.52,0.64,0.08
Lake Country,5935016,12920,0.01,0.50,0.17,0.19,0.62,0.42,0.35,0.27,0.48,0.02,0.01,0.01,0.00,0.01,0.07,0.78,0.60,1.08,0.31,0.55,0.68,0.07
Peachland,5935018,5430,0.03,0.49,0.11,0.14,0.55,0.51,0.29,0.24,0.40,0.01,0.01,0.01,0.00,0.00,0.06,0.86,0.50,1.12,0.17,0.57,0.51,0.09
Central Okanagan J,5935020,1985,NULL,0.51,0.12,0.18,0.62,0.48,0.28,0.25,0.42,0.01,0.01,0.00,0.01,0.01,0.06,0.92,0.55,1.29,0.27,0.45,0.58,0.15
West Kelowna,5935029,32655,0.03,0.49,0.15,0.19,0.78,0.43,0.33,0.28,0.47,0.02,0.01,0.01,0.00,0.01,0.07,0.84,0.54,1.33,0.32,0.54,0.64,0.06
Duck Lake 7,5935801,1660,0.08,0.45,0.11,0.13,0.88,0.52,0.39,0.24,0.31,0.00,0.02,0.01,0.02,0.00,0.06,0.92,NULL,NULL,0.38,0.41,0.57,0.09
Tsinstikeptum 9,5935802,7610,0.11,0.46,0.13,0.14,0.52,0.51,0.42,0.24,0.33,0.01,0.00,0.00,0.00,0.00,0.17,0.81,NULL,NULL,0.33,0.47,0.50,0.08
Tsinstikeptum 10,5935803,1415,0.04,0.48,0.15,0.17,0.81,0.45,0.37,0.26,0.38,0.03,0.04,0.01,0.01,0.01,0.11,0.85,NULL,NULL,0.34,0.46,0.62,0.10
Lumby,5937005,1835,0.03,0.50,0.16,0.16,0.60,0.42,0.37,0.28,0.37,0.01,0.01,0.00,0.00,0.00,0.08,0.72,0.31,0.82,0.32,0.43,0.58,0.11
Coldstream,5937010,10645,0.02,0.49,0.12,0.18,0.58,0.44,0.32,0.29,0.51,0.02,0.01,0.01,0.00,0.00,0.05,0.90,0.58,1.16,0.28,0.59,0.63,0.07
Vernon,5937014,40120,0.04,0.47,0.16,0.17,0.78,0.46,0.45,0.27,0.38,0.02,0.01,0.02,0.00,0.00,0.08,0.69,0.40,1.00,0.19,0.50,0.57,0.08
North Okanagan B,5937017,3200,NULL,0.52,0.13,0.16,0.59,0.45,0.35,0.27,0.37,0.00,0.00,0.01,0.00,0.00,0.05,0.85,0.47,0.92,0.30,0.52,0.63,0.06
North Okanagan C,5937021,3870,NULL,0.51,0.14,0.19,0.61,0.44,0.32,0.27,0.47,0.01,0.00,0.00,0.00,0.00,0.06,0.85,0.56,1.04,0.28,0.58,0.63,0.06
North Okanagan D,5937022,2670,NULL,0.51,0.12,0.18,0.80,0.45,0.32,0.26,0.37,0.02,0.01,0.00,0.00,0.00,0.13,0.86,0.38,0.84,0.30,0.35,0.60,0.09
North Okanagan E,5937023,1010,NULL,0.53,0.10,0.17,0.64,0.45,0.38,0.27,0.28,0.01,0.01,0.00,0.01,0.00,0.07,0.78,0.32,0.81,0.33,0.43,0.50,0.18
Spallumcheen,5937024,5110,NULL,0.50,0.13,0.16,0.59,0.44,0.32,0.28,0.36,0.01,0.01,0.00,0.00,0.00,0.05,0.81,0.48,0.95,0.19,0.50,0.64,0.08
Armstrong,5937028,5115,0.10,0.47,0.15,0.16,0.54,0.46,0.40,0.27,0.35,0.03,0.01,0.01,0.00,0.00,0.09,0.80,0.35,1.01,0.23,0.45,0.56,0.07
Enderby,5937033,2965,0.07,0.48,0.14,0.13,0.81,0.48,0.41,0.26,0.29,0.01,0.00,0.00,0.00,0.01,0.10,0.75,0.29,0.74,0.31,0.29,0.51,0.10
North Okanagan F,5937041,4000,NULL,0.51,0.14,0.16,0.81,0.46,0.33,0.26,0.35,0.00,0.01,0.00,0.00,0.00,0.11,0.82,0.43,0.75,0.21,0.50,0.64,0.09
Enderby 2,5937802,315,NULL,0.49,0.14,0.17,0.67,0.38,0.51,0.29,0.23,0.05,0.00,0.00,0.00,0.00,0.83,0.52,NULL,NULL,0.27,0.29,0.52,0.27
Priest's Valley 6,5937803,630,0.18,0.48,0.08,0.09,0.52,0.60,0.40,0.22,0.27,0.00,0.00,0.00,0.00,0.03,0.07,0.97,NULL,NULL,0.10,0.18,0.36,0.06
Golden,5939007,3710,0.03,0.50,0.20,0.22,0.65,0.41,0.43,0.27,0.40,0.04,0.01,0.03,0.00,0.00,0.11,0.73,0.28,0.93,0.31,0.50,0.69,0.09
Columbia-Shuswap A,5939011,3150,NULL,0.52,0.16,0.22,0.68,0.43,0.34,0.26,0.43,0.00,0.00,0.00,0.01,0.00,0.11,0.80,0.38,0.87,0.30,0.54,0.73,0.13
Revelstoke,5939019,7545,0.02,0.51,0.22,0.22,0.66,0.40,0.41,0.27,0.42,0.02,0.01,0.01,0.00,0.00,0.07,0.73,0.36,1.01,0.29,0.56,0.70,0.09
Columbia-Shuswap B,5939023,595,NULL,0.52,0.18,0.18,0.86,0.45,0.36,0.26,0.34,0.02,0.03,0.00,0.00,0.00,0.06,0.87,0.55,1.19,0.28,0.57,0.68,0.06
Salmon Arm,5939032,17705,0.01,0.47,0.14,0.16,0.53,0.47,0.40,0.27,0.41,0.01,0.01,0.01,0.01,0.00,0.08,0.77,0.38,0.93,0.30,0.53,0.57,0.06
Columbia-Shuswap C,5939037,7920,NULL,0.50,0.09,0.12,0.53,0.51,0.26,0.25,0.37,0.01,0.00,0.00,0.00,0.00,0.06,0.89,0.43,1.00,0.29,0.53,0.48,0.12
Columbia-Shuswap D,5939039,4045,NULL,0.51,0.14,0.16,0.80,0.44,0.33,0.27,0.35,0.00,0.00,0.00,0.00,0.00,0.09,0.80,0.37,0.74,0.21,0.44,0.58,0.09
Columbia-Shuswap E,5939043,1185,NULL,0.54,0.11,0.16,0.62,0.48,0.35,0.25,0.35,0.01,0.01,0.00,0.02,0.00,0.08,0.80,0.33,0.93,0.27,0.49,0.61,0.11
Columbia-Shuswap F,5939044,2455,NULL,0.51,0.07,0.10,0.90,0.55,0.29,0.23,0.35,0.00,0.01,0.01,0.00,0.00,0.04,0.91,0.47,0.73,0.30,0.30,0.43,0.10
Sicamous,5939045,2425,0.02,0.49,0.11,0.13,0.86,0.51,0.37,0.24,0.39,0.00,0.00,0.01,0.00,0.00,0.10,0.79,0.32,0.84,0.31,0.46,0.56,0.13
Chum Creek 2,5939801,40,NULL,0.63,0.00,0.13,1.25,0.51,0.63,0.25,NULL,0.00,0.00,0.00,0.00,0.00,0.33,0.80,NULL,NULL,0.50,0.38,0.75,0.33
North Bay 5,5939803,50,NULL,0.40,0.00,0.10,0.80,0.51,0.50,0.27,NULL,0.00,0.00,0.00,0.00,0.00,0.70,0.80,NULL,NULL,0.33,0.33,0.56,0.00
Okanagan (Part) 1,5939804,75,NULL,0.47,0.13,0.20,0.96,0.48,0.62,0.28,NULL,0.00,0.00,0.00,0.00,0.00,0.87,0.71,NULL,NULL,0.15,0.62,0.50,0.00
Quaaout 1,5939805,170,NULL,0.53,0.21,0.12,0.82,0.44,0.38,0.25,NULL,0.00,0.00,0.00,0.00,0.00,0.65,0.53,NULL,NULL,0.31,0.52,0.62,0.00
Switsemalph 3,5939808,75,NULL,0.53,0.20,0.07,0.56,0.37,0.58,0.28,NULL,0.00,0.00,0.00,0.00,0.00,0.86,0.75,NULL,NULL,0.36,0.36,0.82,0.33
Switsemalph,5939811,125,NULL,0.48,0.12,0.12,0.84,0.48,0.50,0.27,NULL,0.00,0.08,0.00,0.00,0.00,0.52,1.00,NULL,NULL,0.38,0.43,0.48,0.00
One Hundred Mile House,5941005,1980,NULL,0.47,0.16,0.13,0.81,0.47,0.52,0.26,0.33,0.02,0.01,0.04,0.00,0.01,0.14,0.57,0.21,0.70,0.34,0.33,0.50,0.11
Williams Lake,5941009,10755,0.03,0.50,0.20,0.18,0.61,0.42,0.45,0.28,0.42,0.01,0.01,0.04,0.00,0.00,0.21,0.62,0.24,0.86,0.35,0.40,0.65,0.08
Cariboo D,5941010,2930,NULL,0.51,0.15,0.20,0.65,0.42,0.36,0.27,0.42,0.00,0.00,0.01,0.00,0.00,0.21,0.84,0.24,0.92,0.36,0.30,0.66,0.10
Cariboo E,5941012,4060,NULL,0.52,0.16,0.18,0.78,0.42,0.31,0.27,0.45,0.01,0.00,0.00,0.01,0.00,0.14,0.90,0.26,0.73,0.21,0.45,0.67,0.08
Quesnel,5941013,9875,0.03,0.49,0.17,0.18,0.58,0.42,0.45,0.28,0.42,0.02,0.01,0.05,0.00,0.00,0.16,0.63,0.21,0.74,0.33,0.39,0.58,0.11
Cariboo F,5941014,4555,NULL,0.52,0.12,0.17,0.79,0.45,0.30,0.27,0.41,0.01,0.01,0.00,0.00,0.00,0.11,0.90,0.33,0.63,0.20,0.50,0.64,0.08
Cariboo G,5941015,5155,NULL,0.51,0.11,0.14,0.55,0.48,0.32,0.26,0.36,0.02,0.01,0.00,0.00,0.00,0.09,0.85,0.29,0.86,0.19,0.45,0.56,0.09
Cariboo H,5941016,1785,NULL,0.52,0.11,0.14,0.85,0.50,0.33,0.25,0.33,0.02,0.00,0.00,0.00,0.01,0.11,0.86,0.28,0.79,0.34,0.40,0.47,0.15
Cariboo L,5941017,4205,NULL,0.51,0.07,0.14,0.55,0.52,0.29,0.24,0.33,0.01,0.00,0.00,0.00,0.00,0.09,0.92,0.35,0.86,0.20,0.47,0.51,0.11
Cariboo A,5941019,6265,NULL,0.51,0.16,0.18,0.62,0.43,0.34,0.27,0.43,0.01,0.00,0.00,0.00,0.00,0.11,0.88,0.24,0.77,0.34,0.43,0.64,0.08
Cariboo B,5941021,3840,NULL,0.52,0.13,0.20,0.79,0.44,0.34,0.27,0.43,0.01,0.01,0.00,0.00,0.00,0.12,0.88,0.24,0.73,0.24,0.41,0.60,0.12
Wells,5941025,220,NULL,0.50,0.20,0.14,0.84,0.44,0.42,0.24,NULL,0.00,0.00,0.00,0.00,0.00,0.07,0.70,0.19,0.61,0.29,0.45,0.66,0.15
Cariboo C,5941026,1225,NULL,0.53,0.16,0.16,0.68,0.44,0.36,0.26,0.38,0.00,0.00,0.00,0.00,0.00,0.15,0.84,0.17,0.74,0.30,0.35,0.60,0.11
Cariboo I,5941027,1440,NULL,0.52,0.12,0.16,0.65,0.46,0.35,0.26,0.36,0.01,0.00,0.01,0.01,0.00,0.11,0.91,0.22,0.65,0.28,0.42,0.60,0.11
Cariboo J,5941039,645,NULL,0.53,0.11,0.15,0.64,0.51,0.36,0.24,0.40,0.01,0.00,0.00,0.00,0.00,0.15,0.82,0.24,0.48,0.30,0.50,0.57,0.21
Cariboo K,5941041,395,NULL,0.53,0.16,0.16,0.81,0.44,0.34,0.29,0.32,0.00,0.00,0.00,0.00,0.00,0.34,0.77,0.20,0.58,0.30,0.39,0.64,0.05
Alkali Lake 1,5941801,330,0.01,0.55,0.20,0.21,0.73,0.38,0.56,0.28,0.19,0.00,0.00,0.00,0.00,0.00,0.98,0.30,NULL,NULL,0.19,0.37,0.65,0.33
Canim Lake 1,5941802,225,NULL,0.56,0.22,0.24,0.71,0.35,0.63,0.28,NULL,0.00,0.00,0.00,0.00,0.00,0.98,0.13,NULL,NULL,0.33,0.42,0.61,0.23
Deep Creek 2,5941805,90,NULL,0.50,0.11,0.22,0.80,0.43,0.57,0.28,NULL,0.00,0.00,0.00,0.00,0.00,0.94,0.44,NULL,NULL,0.20,0.60,0.79,0.18
Dog Creek 1,5941806,80,0.01,0.56,0.19,0.13,0.66,0.38,0.58,0.32,NULL,0.00,0.00,0.00,0.00,0.00,0.88,0.67,NULL,NULL,0.25,0.33,0.58,0.00
Lohbiee 3,5941808,90,NULL,0.50,0.22,0.22,0.86,0.42,0.33,0.27,NULL,0.00,0.00,0.00,0.00,0.00,1.00,NULL,NULL,NULL,0.00,0.53,0.67,0.50
Quesnel 1,5941809,105,NULL,0.48,0.24,0.24,0.71,0.37,0.59,0.25,NULL,0.00,0.00,0.00,0.00,0.00,0.90,0.33,NULL,NULL,0.19,0.25,0.56,0.33
Soda Creek 1,5941810,60,NULL,0.67,0.25,0.17,0.89,0.38,0.60,0.28,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.67,NULL,NULL,0.30,0.30,0.50,0.40
Williams Lake 1,5941812,190,NULL,0.53,0.18,0.18,0.68,0.36,0.54,0.3,NULL,0.00,0.00,0.00,0.00,0.00,0.97,0.80,NULL,NULL,0.39,0.36,0.61,0.18
Anahim's Flat 1,5941821,345,NULL,0.57,0.20,0.16,0.77,0.42,0.56,0.28,0.21,0.00,0.00,0.00,0.00,0.03,1.00,0.48,NULL,NULL,0.20,0.14,0.47,0.36
Nazco 20,5941837,90,NULL,0.56,0.17,0.17,0.56,0.34,0.62,0.35,NULL,0.00,0.00,0.00,0.00,0.00,1.00,NULL,NULL,NULL,0.23,0.15,0.54,0.43
Redstone Flat 1,5941839,195,0.01,0.51,0.15,0.23,0.69,0.36,0.47,0.33,NULL,0.05,0.00,0.00,0.00,0.00,0.95,0.46,NULL,NULL,0.16,0.16,0.47,0.29
Squinas 2,5941840,130,NULL,0.54,0.23,0.27,0.85,0.41,0.68,0.31,NULL,0.00,0.00,0.00,0.00,0.00,0.96,0.50,NULL,NULL,0.23,0.09,0.50,0.46
Stone 1,5941841,185,NULL,0.54,0.19,0.24,0.73,0.36,0.55,0.34,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.70,NULL,NULL,0.23,0.23,0.38,0.46
Toosey 1,5941850,105,NULL,0.52,0.19,0.24,0.76,0.37,0.65,0.28,NULL,0.00,0.00,0.00,0.00,0.00,1.05,0.25,NULL,NULL,0.24,0.24,0.56,0.30
Ulkatcho 14A,5941880,155,0.01,0.55,0.13,0.29,0.77,0.39,0.44,0.25,NULL,0.00,0.00,0.00,0.00,0.00,0.97,0.45,NULL,NULL,0.20,0.20,0.68,0.59
Port McNeill,5943012,2335,0.02,0.52,0.18,0.20,0.64,0.39,0.35,0.28,0.48,0.02,0.03,0.00,0.02,0.01,0.13,0.67,0.21,0.71,0.30,0.44,0.74,0.06
Port Alice,5943017,665,0.01,0.56,0.14,0.15,0.69,0.48,0.34,0.24,0.42,0.02,0.02,0.00,0.00,0.02,0.06,0.82,0.15,0.62,0.39,0.45,0.55,0.30
Port Hardy,5943023,4130,0.01,0.52,0.17,0.19,0.75,0.40,0.44,0.28,0.39,0.03,0.01,0.00,0.01,0.00,0.26,0.62,0.20,0.73,0.30,0.41,0.65,0.09
Mount Waddington B,5943027,60,NULL,0.67,0.25,0.17,1.30,0.53,0.50,0.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mount Waddington C,5943031,750,NULL,0.53,0.13,0.14,0.65,0.46,0.29,0.26,0.49,0.01,0.01,0.00,0.00,0.00,0.08,0.88,0.38,0.84,0.28,0.55,0.69,0.08
Mount Waddington D,5943033,225,NULL,0.56,0.09,0.16,0.89,0.49,0.32,0.25,NULL,0.00,0.00,0.00,0.00,0.00,0.10,0.86,0.15,0.00,0.37,0.34,0.60,0.00
Mount Waddington A,5943037,885,NULL,0.49,0.08,0.14,0.62,0.50,0.40,0.24,0.28,0.02,0.00,0.00,0.00,0.01,0.28,0.82,0.32,0.67,0.27,0.48,0.55,0.15
Tsulquate 4,5943806,430,0.07,0.52,0.20,0.13,0.49,0.29,0.49,0.36,0.23,0.00,0.00,0.00,0.00,0.00,0.99,0.43,NULL,NULL,0.23,0.11,0.48,0.30
Quaee 7,5943813,75,NULL,0.60,0.40,0.13,0.89,0.34,0.73,0.3,NULL,0.00,0.00,0.00,0.00,0.00,0.94,0.43,NULL,NULL,0.18,0.45,0.73,0.00
Kippase 2,5943815,230,0.16,0.50,0.22,0.13,0.72,0.37,0.53,0.27,NULL,0.00,0.00,0.00,0.00,0.00,0.96,0.81,NULL,NULL,0.19,0.39,0.67,0.17
Quatsino Subdivision 18,5943816,220,0.09,0.50,0.23,0.23,0.62,0.32,0.39,0.32,NULL,0.00,0.00,0.00,0.00,0.00,0.95,0.64,NULL,NULL,0.18,0.21,0.58,0.10
Alert Bay,5943837,465,0.02,0.48,0.13,0.18,0.77,0.43,0.55,0.28,0.24,0.00,0.00,0.00,0.00,0.00,0.97,0.55,NULL,NULL,0.10,0.36,0.36,0.15
Central Coast A,5945006,200,NULL,0.60,0.15,0.17,0.93,0.48,0.39,0.22,NULL,0.00,0.05,0.00,0.00,0.00,0.13,0.67,0.23,0.42,0.39,0.50,0.67,0.00
Central Coast C,5945010,655,NULL,0.52,0.15,0.14,0.60,0.46,0.33,0.25,0.37,0.02,0.00,0.00,0.00,0.00,0.12,0.77,0.24,0.67,0.38,0.57,0.64,0.10
Central Coast D,5945012,400,NULL,0.54,0.10,0.15,0.78,0.46,0.33,0.28,0.41,0.03,0.00,0.00,0.03,0.00,0.13,0.85,0.25,0.79,0.26,0.62,0.61,0.00
Central Coast E,5945014,150,NULL,0.40,0.13,0.23,0.70,0.41,0.65,0.3,NULL,0.04,0.00,0.00,0.00,0.00,0.46,0.40,0.11,0.42,0.33,0.42,0.63,0.00
Bella Bella 1,5945801,1020,0.02,0.52,0.21,0.19,0.73,0.38,0.46,0.3,0.26,0.01,0.01,0.00,0.00,0.00,0.92,0.55,NULL,NULL,0.24,0.33,0.56,0.14
Bella Coola 1,5945802,810,0.01,0.51,0.19,0.16,0.63,0.33,0.54,0.31,0.20,0.01,0.00,0.01,0.00,0.00,0.97,0.63,NULL,NULL,0.17,0.31,0.45,0.27
Port Edward,5947007,465,NULL,0.53,0.14,0.17,0.74,0.41,0.42,0.29,0.39,0.03,0.05,0.00,0.00,0.00,0.38,0.73,0.51,0.67,0.22,0.34,0.67,0.07
Prince Rupert,5947012,12220,0.02,0.51,0.19,0.19,0.61,0.40,0.45,0.28,0.45,0.03,0.05,0.03,0.01,0.00,0.35,0.60,0.30,0.86,0.32,0.42,0.68,0.13
Skeena-Queen Charlotte A,5947016,40,NULL,0.63,0.13,0.13,1.50,0.59,0.38,0.2,NULL,0.00,0.00,0.00,0.00,0.00,0.25,0.80,0.37,0.00,0.25,0.63,0.50,0.00
Skeena-Queen Charlotte C,5947021,70,NULL,0.57,0.14,0.14,0.81,0.44,0.27,0.24,NULL,0.00,0.00,0.00,0.00,0.00,0.76,0.89,0.33,0.00,0.27,0.32,0.52,0.18
Masset,5947023,795,NULL,0.51,0.14,0.18,0.61,0.43,0.42,0.27,0.35,0.01,0.01,0.00,0.01,0.00,0.43,0.70,0.13,0.78,0.28,0.52,0.62,0.04
Queen Charlotte,5947026,855,NULL,0.49,0.16,0.18,0.64,0.44,0.40,0.27,0.44,0.03,0.03,0.01,0.01,0.00,0.16,0.66,0.21,0.71,0.13,0.60,0.73,0.08
